Statistical profiling result from artillery_con_log.log, (5014 ticks, 59 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *serializeLong /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:302:23
      1    0.0%    0.0%  LazyCompile: *selectServer /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology.js:254:17
      1    0.0%    0.0%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      1    0.0%    0.0%  LazyCompile: *processWaitQueue /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology.js:535:26
      1    0.0%    0.0%  LazyCompile: *processIncomingData /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:84:29
      1    0.0%    0.0%  LazyCompile: *parse /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/vary/index.js:96:16
      1    0.0%    0.0%  LazyCompile: *normalize node:path:1127:12
      1    0.0%    0.0%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.0%  LazyCompile: *join node:internal/util:378:14
      1    0.0%    0.0%  LazyCompile: *isUint8Array node:internal/util/types:13:22
      1    0.0%    0.0%  LazyCompile: *initAsyncResource node:internal/timers:157:27
      1    0.0%    0.0%  LazyCompile: *getEncodingOps node:buffer:679:24
      1    0.0%    0.0%  LazyCompile: *formatRaw node:internal/util/inspect:820:19
      1    0.0%    0.0%  LazyCompile: *extname node:path:1385:10
      1    0.0%    0.0%  LazyCompile: *emit node:events:474:44
      1    0.0%    0.0%  LazyCompile: *dirname node:path:1275:10
      1    0.0%    0.0%  LazyCompile: *cpus node:os:133:14
      1    0.0%    0.0%  LazyCompile: *afterWrite node:internal/streams/writable:487:20
      1    0.0%    0.0%  LazyCompile: *Long /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:59:18
      1    0.0%    0.0%  LazyCompile: *ClientSession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:45:16
      1    0.0%    0.0%  LazyCompile: *Binary /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/binary.js:42:20
      1    0.0%    0.0%  LazyCompile: *BinMsg /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:394:16
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/validators:84:3
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:742:32
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/connect-mongo/build/main/lib/MongoStore.js:203:10
      1    0.0%    0.0%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      1    0.0%    0.0%  Function: ^writeHead node:_http_server:269:19
      1    0.0%    0.0%  Function: ^writeCommand /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:40:17
      1    0.0%    0.0%  Function: ^write /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection.js:403:15
      1    0.0%    0.0%  Function: ^validateString node:internal/validators:118:24
      1    0.0%    0.0%  Function: ^updateChildren node:internal/modules/cjs/loader:165:24
      1    0.0%    0.0%  Function: ^tryStatSync node:fs:404:21
      1    0.0%    0.0%  Function: ^tryHandleCache /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:254:24
      1    0.0%    0.0%  Function: ^stringToFlags node:internal/fs/utils:555:23
      1    0.0%    0.0%  Function: ^strEscape node:internal/util/inspect:475:19
      1    0.0%    0.0%  Function: ^slice node:buffer:621:12
      1    0.0%    0.0%  Function: ^setRequestTimeout node:_http_server:762:27
      1    0.0%    0.0%  Function: ^serializeBson /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:379:18
      1    0.0%    0.0%  Function: ^serialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/node_modules/cookie/index.js:101:19
      1    0.0%    0.0%  Function: ^resolve node:path:1091:10
      1    0.0%    0.0%  Function: ^removeListener node:events:693:28
      1    0.0%    0.0%  Function: ^reduceToSingleString node:internal/util/inspect:1902:30
      1    0.0%    0.0%  Function: ^readUInt32LE node:internal/buffer:215:22
      1    0.0%    0.0%  Function: ^readFileSync node:fs:450:22
      1    0.0%    0.0%  Function: ^pushAsyncContext node:internal/async_hooks:540:26
      1    0.0%    0.0%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      1    0.0%    0.0%  Function: ^processIncomingData /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:84:29
      1    0.0%    0.0%  Function: ^parse /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/cookie-parser/node_modules/cookie/index.js:49:15
      1    0.0%    0.0%  Function: ^openSync node:fs:576:18
      1    0.0%    0.0%  Function: ^onwriteDrain /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:476:22
      1    0.0%    0.0%  Function: ^onstat /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/send/index.js:717:33
      1    0.0%    0.0%  Function: ^ondata /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:679:18
      1    0.0%    0.0%  Function: ^makeCounter /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:328:22
      1    0.0%    0.0%  Function: ^listenerCount node:events:858:23
      1    0.0%    0.0%  Function: ^limit /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cursor/find_cursor.js:353:10
      1    0.0%    0.0%  Function: ^isURLInstance node:internal/url:1492:23
      1    0.0%    0.0%  Function: ^isObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb-connection-string-url/node_modules/whatwg-url/lib/utils.js:4:18
      1    0.0%    0.0%  Function: ^incRefCount node:internal/timers:299:21
      1    0.0%    0.0%  Function: ^hasbody /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/type-is/index.js:92:18
      1    0.0%    0.0%  Function: ^hasObserver node:internal/perf/observe:474:21
      1    0.0%    0.0%  Function: ^handleOperationResult /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server.js:282:42
      1    0.0%    0.0%  Function: ^handleCache /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:210:21
      1    0.0%    0.0%  Function: ^getcookie /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/index.js:529:19
      1    0.0%    0.0%  Function: ^getRequestId /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:386:24
      1    0.0%    0.0%  Function: ^getPriority /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/negotiator/lib/encoding.js:149:53
      1    0.0%    0.0%  Function: ^getConstructorName node:internal/util/inspect:567:28
      1    0.0%    0.0%  Function: ^get node:net:1702:6
      1    0.0%    0.0%  Function: ^get node:internal/streams/duplex:94:8
      1    0.0%    0.0%  Function: ^get isActive /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/transactions.js:98:17
      1    0.0%    0.0%  Function: ^get hasDataBearingServers /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology_description.js:230:30
      1    0.0%    0.0%  Function: ^get description /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology.js:144:20
