Statistical profiling result from autocannon_sin_log.log, (4825 ticks, 77 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *onwrite node:internal/streams/writable:425:17
      1    0.0%    0.0%  LazyCompile: *join node:path:1166:7
      1    0.0%    0.0%  LazyCompile: *handle /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.0%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:530:29
      1    0.0%    0.0%  LazyCompile: *get node:internal/streams/duplex:94:8
      1    0.0%    0.0%  LazyCompile: *fastparse /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  LazyCompile: *dirname node:path:1275:10
      1    0.0%    0.0%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.0%  LazyCompile: *alloc node:buffer:360:30
      1    0.0%    0.0%  LazyCompile: *afterWrite node:internal/streams/writable:487:20
      1    0.0%    0.0%  LazyCompile: *_unrefTimer node:net:417:52
      1    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.0%  LazyCompile: *_copy node:buffer:201:15
      1    0.0%    0.0%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      1    0.0%    0.0%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      1    0.0%    0.0%  Function: ^writeCommand /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/message_stream.js:40:17
      1    0.0%    0.0%  Function: ^write node:buffer:629:12
      1    0.0%    0.0%  Function: ^write /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection.js:403:15
      1    0.0%    0.0%  Function: ^wrappedCwd node:internal/bootstrap/switches/does_own_process_state:124:20
      1    0.0%    0.0%  Function: ^updateOutgoingData node:_http_server:554:28
      1    0.0%    0.0%  Function: ^tryRender /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/application.js:655:19
      1    0.0%    0.0%  Function: ^toNamespacedPath node:path:1266:19
      1    0.0%    0.0%  Function: ^toInteger node:buffer:191:19
      1    0.0%    0.0%  Function: ^startSession /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/mongo_client.js:249:17
      1    0.0%    0.0%  Function: ^spliceOne node:internal/util:394:19
      1    0.0%    0.0%  Function: ^specify /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/negotiator/lib/encoding.js:117:17
      1    0.0%    0.0%  Function: ^shouldSave /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/index.js:440:24
      1    0.0%    0.0%  Function: ^shouldCompress /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/compression/index.js:254:25
      1    0.0%    0.0%  Function: ^shift node:internal/fixed_queue:108:8
      1    0.0%    0.0%  Function: ^setImmediate node:timers:278:22
      1    0.0%    0.0%  Function: ^set maxAge /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express-session/session/cookie.js:83:13
      1    0.0%    0.0%  Function: ^set /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/application.js:359:23
      1    0.0%    0.0%  Function: ^serveStatic /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/serve-static/index.js:72:31
      1    0.0%    0.0%  Function: ^serializeInto /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:553:23
      1    0.0%    0.0%  Function: ^send /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/response.js:111:25
      1    0.0%    0.0%  Function: ^resOnFinish node:_http_server:788:21
      1    0.0%    0.0%  Function: ^readableAddChunk /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:249:26
      1    0.0%    0.0%  Function: ^readFileSync node:fs:450:22
      1    0.0%    0.0%  Function: ^read /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:822:9
      1    0.0%    0.0%  Function: ^randomFillSync node:internal/crypto/random:111:24
      1    0.0%    0.0%  Function: ^processWaitQueue /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology.js:535:26
      1    0.0%    0.0%  Function: ^processTimers node:internal/timers:487:25
      1    0.0%    0.0%  Function: ^processImmediate node:internal/timers:421:28
      1    0.0%    0.0%  Function: ^primaryFilter /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/server_selection.js:168:23
      1    0.0%    0.0%  Function: ^parserOnHeadersComplete node:_http_common:77:33
      1    0.0%    0.0%  Function: ^parseFileMode node:internal/validators:59:23
      1    0.0%    0.0%  Function: ^parseAcceptEncoding /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/negotiator/lib/encoding.js:31:29
      1    0.0%    0.0%  Function: ^onStreamRead node:internal/stream_base_commons:167:22
      1    0.0%    0.0%  Function: ^onMessage /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection.js:156:14
      1    0.0%    0.0%  Function: ^onHeaders /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/on-headers/index.js:56:20
      1    0.0%    0.0%  Function: ^normalizeEncoding node:internal/util:160:27
      1    0.0%    0.0%  Function: ^nocompress /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/compression/index.js:134:25
      1    0.0%    0.0%  Function: ^nextTick node:internal/process/task_queues:104:18
      1    0.0%    0.0%  Function: ^next /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/send/index.js:728:17
      1    0.0%    0.0%  Function: ^newAsyncId node:internal/async_hooks:417:20
      1    0.0%    0.0%  Function: ^module.exports /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/utils-merge/index.js:16:36
      1    0.0%    0.0%  Function: ^maybeReadMore_ /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:565:24
      1    0.0%    0.0%  Function: ^isTransactionCommand /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/transactions.js:134:30
      1    0.0%    0.0%  Function: ^initialize /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/passport/lib/middleware/initialize.js:51:29
      1    0.0%    0.0%  Function: ^initRead node:_tls_wrap:438:18
      1    0.0%    0.0%  Function: ^initAsyncResource node:internal/timers:157:27
      1    0.0%    0.0%  Function: ^hasTimedOut /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:552:16
      1    0.0%    0.0%  Function: ^handleWriteReq node:internal/stream_base_commons:45:24
      1    0.0%    0.0%  Function: ^handle /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.0%  Function: ^getValidatedString /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:650:28
      1    0.0%    0.0%  Function: ^getStringOption node:internal/crypto/util:328:25
      1    0.0%    0.0%  Function: ^getEncodingPriority /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/negotiator/lib/encoding.js:98:29
      1    0.0%    0.0%  Function: ^get readConcern /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/collection.js:104:20
      1    0.0%    0.0%  Function: ^get node:internal/streams/writable:787:8
      1    0.0%    0.0%  Function: ^get node:internal/console/constructor:203:14
      1    0.0%    0.0%  Function: ^get length /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:809:15
      1    0.0%    0.0%  Function: ^get isActive /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/transactions.js:98:17
      1    0.0%    0.0%  Function: ^get hasSubscribers node:diagnostics_channel:88:21
      1    0.0%    0.0%  Function: ^get hasDataBearingServers /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology_description.js:230:30
      1    0.0%    0.0%  Function: ^get closed /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:101:15
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/winston/node_modules/readable-stream/lib/_stream_duplex.js:120:20
      1    0.0%    0.0%  Function: ^get /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/bson.js:22:74
      1    0.0%    0.0%  Function: ^fromString node:buffer:432:20
      1    0.0%    0.0%  Function: ^from node:buffer:296:28
      1    0.0%    0.0%  Function: ^format /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/content-type/index.js:65:17
      1    0.0%    0.0%  Function: ^exports.renderFile /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:441:31
